weight,party_rand_cat,democrat_therm_1,republican_therm_1,general_trust,institutional_corruption,institutional_response,vote_importance,pride,fair_treatment,maga,norm_judges,norm_judges_perception,norm_polling,norm_polling_perception,norm_executive,norm_executive_perception,norm_censorship,norm_censorship_perception,norm_loyalty,norm_loyalty_perception,violence1,violence2,violence3,violence4,violence5,violence6,violence3_perception,violence6_perception,policy_graduated_taxes,policy_energy_ind,policy_health_insur,policy_free_trade,policy_gun_rights,matchup2024,birthyr,gender,race,hispanic,speakspanish,educ,marstat,employ,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputstate,urbanicity2,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,engaged,year,week,survey,uid_public
1.3339089058,,82,22.0,No,Likely to refuse,Equally likely to or unlikely,Very important,Moderately proud,Agree,,Neither agree nor disagree,71,Disagree,81,Agree,91,Disagree,84.0,Disagree,79,Support,Oppose,,,,,83.0,20,,,,4. Middle of the road; see the pros and cons of both sides,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1943,Male,White,No,I can not speak Spanish,Post-grad,Never married,Retired,"$50,000 - $59,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Florida,Smaller city,Yes,Liberal,Most of the time,Protestant,Once a week,No,Very important,Several times a day,2023-03-04 01:24:37,2023-03-04 01:53:27,1,2023,10,25,22809
0.6573642527,,80,10.0,Yes,Likely to refuse,Unlikely,Very important,Moderately proud,Agree,,Disagree,65,Disagree,60,Neither agree nor disagree,60,Disagree,40.0,Disagree,82,Oppose,,,,,,40.0,10,,,,,,,1936,Female,White,No,I can not speak Spanish,Post-grad,Widowed,Homemaker,Prefer not to say,No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Wisconsin,Smaller city,Yes,Liberal,Most of the time,Nothing in particular,Never,No,Not at all important,Never,2023-03-04 03:16:28,2023-03-04 03:35:23,1,2023,10,25,18325740
1.1037562132,,30,80.0,No,Equally likely to refuse or accept,Unlikely,Important,Very proud,Agree,Neither,Disagree,72,Disagree,64,Disagree,67,Disagree,72.0,Disagree,68,Oppose,,,,,,65.0,24,,7. Increase U.S. production of natural gas and coal,,4. Middle of the road; see the pros and cons of both sides,"7. Do not restrict the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1970,Male,White,No,I can not speak Spanish,Some college,Married,Full-time,"$80,000 - $99,999",Yes,Republican,Strong Republican,Evan McMullin,Donald Trump,Texas,Smaller city,Yes,Conservative,Most of the time,Agnostic,Never,No,Not at all important,Never,2023-03-05 02:06:57,2023-03-05 02:23:23,1,2023,10,25,18610572
0.1759937193,Independent assigned Democrat,40,0.0,No,Likely to accept,Unlikely,Very important,Very proud,Neither agree nor disagree,,Neither agree nor disagree,99,Disagree,90,Disagree,99,Agree,99.0,Strongly disagree,99,Support,Oppose,,,,,80.0,60,1. Tax richer people at a higher rate,3.,,,,,1959,Male,Two or more races,No,I can not speak Spanish,High school graduate,Married,Retired,"$80,000 - $99,999",No,Independent,Independent,Jill Stein,Joe Biden,South Carolina,Rural area,Yes,Very liberal,Most of the time,Protestant,Never,No,Very important,Several times a day,2023-03-07 22:51:49,2023-03-07 23:12:07,1,2023,10,25,18934545
0.5545159333,Independent assigned Democrat,0,10.0,No,Extremely likely to accept,Extremely unlikely,Important,Extremely proud,Disagree,,Disagree,50,Strongly disagree,10,Strongly disagree,10,Strongly disagree,7.0,Disagree,50,Oppose,,,,,,5.0,1,5.,,,,"7. Do not restrict the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1969,Male,White,No,I can not speak Spanish,4-year,Married,Other,Prefer not to say,Yes,Independent,Independent,Gary Johnson,Jo Jorgensen,Texas,Suburban area,Yes,Moderate,Most of the time,Nothing in particular,Seldom,No,Somewhat important,Once a week,2023-03-04 22:01:50,2023-03-04 23:00:55,1,2023,10,25,19143669
1.6410846309,,6,54.0,Yes,Equally likely to refuse or accept,Unlikely,Neither important nor unimportant,Very proud,Disagree,Neither,Strongly disagree,21,Strongly disagree,27,Strongly disagree,65,Strongly disagree,15.0,Strongly disagree,66,Support,Strongly oppose,,,,,57.0,11,6.,,7. Have individuals and private insurance pay medical expenses,5.,,,1951,Male,White,No,I can not speak Spanish,Some college,Divorced,Retired,"$30,000 - $39,999",No,Republican,Not very strong Republican,Donald Trump,Donald Trump,Pennsylvania,Suburban area,Yes,Very conservative,Most of the time,Nothing in particular,Never,No,Not too important,Never,2023-03-04 06:37:24,2023-03-04 07:02:00,1,2023,10,25,19202601
0.6244953200,,0,81.0,Yes,Equally likely to refuse or accept,Unlikely,Very important,Extremely proud,Disagree,Neither,Disagree,87,Strongly agree,0,Strongly agree,97,Strongly disagree,18.0,Disagree,0,Strongly support,Strongly oppose,,,,,100.0,64,,,7. Have individuals and private insurance pay medical expenses,3.,,,1940,Male,White,No,I can not speak Spanish,4-year,Married,Retired,"$80,000 - $99,999",No,Republican,Not very strong Republican,Donald Trump,Donald Trump,California,Suburban area,Yes,Very conservative,Most of the time,Nothing in particular,Never,No,Not at all important,Several times a day,2023-03-09 01:54:18,2023-03-09 02:10:45,1,2023,10,25,19272117
0.5860278279,,84,1.0,No,Likely to refuse,Unlikely,Very important,Moderately proud,Neither agree nor disagree,,Disagree,91,Disagree,100,Agree,100,Disagree,90.0,Disagree,100,Neither support nor oppose,,,,,,80.0,80,1. Tax richer people at a higher rate,1. Decrease U.S. production of natural gas and coal,,1. Limit free trade,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1956,Female,White,No,I can not speak Spanish,Post-grad,Domestic / civil partnership,Retired,"$20,000 - $29,999",No,Democrat,Strong Democrat,Did not vote for President,Joe Biden,New Mexico,Rural area,Yes,Very liberal,Most of the time,Buddhist,Never,No,Not too important,Never,2023-03-09 01:35:48,2023-03-09 01:59:06,0,2023,10,25,19299207
0.9108389220,,100,95.0,No,Likely to accept,Likely,Very important,Extremely proud,Agree,MAGA Republican,Disagree,73,Disagree,59,Disagree,24,Disagree,77.0,Disagree,68,Strongly oppose,,,,,,29.0,35,7. Tax everyone at the same rate,,7. Have individuals and private insurance pay medical expenses,,"7. Do not restrict the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1938,Female,White,No,I can not speak Spanish,High school graduate,Married,Retired,Prefer not to say,No,Republican,Strong Republican,Donald Trump,Donald Trump,Kentucky,Suburban area,Yes,Very conservative,Some of the time,Protestant,More than once a week,Yes,Very important,Several times a day,2023-03-04 00:23:21,2023-03-04 00:42:03,1,2023,10,25,19578477
0.7365106738,,10,70.0,No,Equally likely to refuse or accept,Extremely unlikely,Very important,Extremely proud,Disagree,Neither,Disagree,100,Strongly disagree,100,Neither agree nor disagree,100,Strongly disagree,100.0,Neither agree nor disagree,99,Strongly support,Oppose,,,,,90.0,90,7. Tax everyone at the same rate,,,3.,,,1945,Male,White,No,I can not speak Spanish,High school graduate,Married,Retired,"$50,000 - $59,999",No,Independent,Lean Republican,Donald Trump,Donald Trump,Washington,Rural area,Yes,Conservative,Most of the time,Protestant,Seldom,No,Very important,Once a day,2023-03-04 22:07:35,2023-03-04 22:42:31,1,2023,10,25,19578540
