weight,party_rand_cat,democrat_therm_1,republican_therm_1,general_trust,institutional_corruption,institutional_response,vote_importance,pride,fair_treatment,maga,norm_judges,norm_judges_perception,norm_polling,norm_polling_perception,norm_executive,norm_executive_perception,norm_censorship,norm_censorship_perception,norm_loyalty,norm_loyalty_perception,violence1,violence2,violence3,violence4,violence5,violence6,violence3_perception,violence6_perception,policy_graduated_taxes,policy_energy_ind,policy_health_insur,policy_free_trade,policy_gun_rights,matchup2024,birthyr,gender,race,hispanic,speakspanish,educ,marstat,employ,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputstate,urbanicity2,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,engaged,year,week,survey,uid_public
0.7947840704,,30.0,30.0,Yes,Equally likely to refuse or accept,Equally likely to or unlikely,Very important,Extremely proud,Agree,Neither,Strongly disagree,,Strongly disagree,,Strongly disagree,90.0,Strongly disagree,60.0,Strongly disagree,28.0,Strongly oppose,,,,,,41,10,,,,4. Middle of the road; see the pros and cons of both sides,2.,,1946,Male,White,No,I can not speak Spanish,Post-grad,Never married,Retired,"$70,000 - $79,999",No,Republican,Not very strong Republican,Donald Trump,Donald Trump,Arizona,Suburban area,Yes,Moderate,Most of the time,Protestant,Once or twice a month,Yes,Very important,Several times a day,2022-12-20 01:38:55,2022-12-20 02:00:37,1,2022,51,14,18055956
0.7328537083,,93.0,2.0,Yes,Likely to refuse,Equally likely to or unlikely,Very important,Extremely proud,Agree,,Strongly disagree,74.0,Strongly disagree,84.0,Disagree,,Disagree,,Strongly disagree,85.0,Oppose,,,,,,66,50,,1. Decrease U.S. production of natural gas and coal,,4. Middle of the road; see the pros and cons of both sides,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1963,Female,White,No,I can not speak Spanish,Post-grad,Married,Full-time,"$200,000 - $249,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,New York,Smaller city,Yes,Liberal,Most of the time,Roman Catholic,Seldom,No,Not too important,Seldom,2022-12-20 01:38:50,2022-12-20 01:53:06,1,2022,51,14,18108174
0.6790805221,,70.0,10.0,Yes,Equally likely to refuse or accept,Equally likely to or unlikely,Important,Not at all proud,Agree,,Strongly disagree,,Strongly disagree,60.0,Neither agree nor disagree,72.0,Strongly disagree,70.0,Strongly disagree,,Strongly support,Oppose,,,,,70,24,1. Tax richer people at a higher rate,,,1. Limit free trade,,,1963,Male,White,No,I can not speak Spanish,4-year,Never married,Part-time,"$40,000 - $49,999",No,Independent,Lean Democrat,Hillary Clinton,Joe Biden,New Mexico,Suburban area,Yes,Liberal,Most of the time,Something else,Never,No,Not at all important,Several times a day,2022-12-19 22:48:47,2022-12-19 23:08:15,1,2022,51,14,18135408
1.4576092617,,15.0,67.0,No,Equally likely to refuse or accept,Unlikely,Very important,Very proud,Disagree,Neither,Disagree,67.0,Neither agree nor disagree,19.0,Neither agree nor disagree,,Disagree,,Disagree,70.0,Support,Neither support nor oppose,,,,,79,50,,7. Increase U.S. production of natural gas and coal,,4. Middle of the road; see the pros and cons of both sides,,,1970,Male,White,No,I can not speak Spanish,Post-grad,Married,Full-time,"$350,000 - $499,999",Yes,Independent,Lean Republican,Donald Trump,Donald Trump,California,Suburban area,Yes,Conservative,Some of the time,Protestant,Once a week,Yes,Very important,Once a day,2022-12-20 04:00:58,2022-12-20 04:31:48,1,2022,51,14,18212763
0.6843778891,,81.0,34.0,Yes,Likely to refuse,Equally likely to or unlikely,Very important,Very proud,Strongly agree,,Strongly disagree,,Strongly disagree,,Disagree,80.0,Strongly disagree,79.0,Strongly disagree,71.0,Neither support nor oppose,,,,,,32,19,,3.,1. Implement government health insurance for everyone,,,,1940,Female,White,No,I can not speak Spanish,4-year,Married,Retired,"$120,000 - $149,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Illinois,Smaller city,Yes,Liberal,Most of the time,Protestant,A few times a year,No,Not too important,Seldom,2022-12-20 01:45:01,2022-12-20 02:28:42,1,2022,51,14,18386913
1.1224249136,,65.0,20.0,Yes,Likely to accept,Extremely unlikely,Very important,Moderately proud,Agree,,Strongly disagree,,Strongly disagree,40.0,Neither agree nor disagree,90.0,Strongly disagree,50.0,Strongly disagree,,Neither support nor oppose,,,,,,30,30,1. Tax richer people at a higher rate,,3.,5.,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1968,Male,White,No,,Post-grad,Married,Full-time,"$350,000 - $499,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,New Jersey,Smaller city,Yes,Liberal,Most of the time,Eastern or Greek Orthodox,Never,No,Not at all important,Never,2022-12-20 02:13:35,2022-12-20 02:32:10,0,2022,51,14,18638832
1.3724032144,,0.0,54.0,Yes,Equally likely to refuse or accept,Unlikely,Important,Very proud,Strongly disagree,MAGA Republican,Neither agree nor disagree,,Neither agree nor disagree,,Neither agree nor disagree,100.0,Neither agree nor disagree,100.0,Neither agree nor disagree,100.0,Support,Oppose,,,,,83,85,,7. Increase U.S. production of natural gas and coal,7. Have individuals and private insurance pay medical expenses,,,,1968,Male,White,No,I can not speak Spanish,Some college,Married,Full-time,"$120,000 - $149,999",Yes,Independent,Lean Republican,Donald Trump,Donald Trump,Michigan,Rural area,Yes,Conservative,Most of the time,Nothing in particular,Never,No,Not too important,Seldom,2022-12-21 19:14:26,2022-12-21 20:05:35,1,2022,51,14,18675048
0.8743663528,Independent assigned Republican,0.0,46.0,Yes,Extremely likely to accept,Equally likely to or unlikely,Very important,Extremely proud,Strongly disagree,,Neither agree nor disagree,,Strongly disagree,100.0,Strongly disagree,100.0,Strongly disagree,,Neither agree nor disagree,100.0,Neither support nor oppose,,,,,,100,100,,7. Increase U.S. production of natural gas and coal,7. Have individuals and private insurance pay medical expenses,4. Middle of the road; see the pros and cons of both sides,,,1964,Male,White,No,I can not speak Spanish,Some college,Widowed,Retired,"$20,000 - $29,999",No,Independent,Independent,Donald Trump,Donald Trump,Florida,Small town,Yes,Moderate,Some of the time,Roman Catholic,Seldom,No,Not too important,A few times a month,2022-12-21 19:20:54,2022-12-21 19:43:41,0,2022,51,14,18683913
0.8336487046,,100.0,5.0,Yes,Likely to refuse,Equally likely to or unlikely,Very important,Moderately proud,Neither agree nor disagree,,Neither agree nor disagree,95.0,Strongly disagree,100.0,Agree,6.0,Strongly disagree,90.0,Neither agree nor disagree,100.0,Neither support nor oppose,,,,,,77,100,1. Tax richer people at a higher rate,1. Decrease U.S. production of natural gas and coal,1. Implement government health insurance for everyone,4. Middle of the road; see the pros and cons of both sides,,,1962,Male,White,No,I can not speak Spanish,Post-grad,Never married,Full-time,"$100,000 - $119,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Georgia,Suburban area,Yes,Liberal,Most of the time,Jewish,Never,No,Not at all important,Never,2022-12-16 21:21:07,2022-12-16 22:00:33,1,2022,51,14,18784443
1.0036598465,Independent assigned Democrat,16.0,86.0,No,Extremely likely to accept,Unlikely,Very important,Extremely proud,Strongly disagree,,Strongly disagree,78.0,Strongly disagree,,Strongly disagree,52.0,Strongly agree,10.0,Strongly disagree,,Oppose,,,,,,10,7,6.,,,,,,1954,Male,White,No,I can not speak Spanish,Post-grad,Never married,Retired,"Less than $10,000",No,Independent,Independent,Donald Trump,Donald Trump,Colorado,Rural area,Yes,Conservative,Most of the time,Protestant,Seldom,Yes,Very important,Several times a day,2022-12-20 01:36:20,2022-12-20 01:55:24,1,2022,51,14,19072983
