weight,party_rand_cat,democrat_therm_1,republican_therm_1,general_trust,institutional_corruption,institutional_response,vote_importance,pride,fair_treatment,maga,norm_judges,norm_judges_perception,norm_polling,norm_polling_perception,norm_executive,norm_executive_perception,norm_censorship,norm_censorship_perception,norm_loyalty,norm_loyalty_perception,violence1,violence2,violence3,violence4,violence5,violence6,violence3_perception,violence6_perception,policy_graduated_taxes,policy_energy_ind,policy_health_insur,policy_free_trade,policy_gun_rights,matchup2024,birthyr,gender,race,hispanic,speakspanish,educ,marstat,employ,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputstate,urbanicity2,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,engaged,year,week,survey,uid_public
0.9568179806,,40,19,No,Extremely likely to accept,Unlikely,Very important,Only a little proud,Strongly agree,,Neither agree nor disagree,100,Neither agree nor disagree,100,Neither agree nor disagree,100,Agree,100.0,Disagree,81,Neither support nor oppose,,,,,,100,76,1. Tax richer people at a higher rate,4. Middle of the road; see the pros and cons of both sides,1. Implement government health insurance for everyone,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,Kamala Harris,1999,Male,White,No,I can not speak Spanish,4-year,Never married,Part-time,"$20,000 - $29,999",No,Democrat,Not very strong Democrat,Did not vote for President,Joe Biden,Washington,Suburban area,Yes,Liberal,Some of the time,Agnostic,Seldom,No,Not too important,Seldom,2024-09-06 15:55:40,2024-09-06 16:02:16,1,2024,36,104,2041507326
0.9889427940,,8,52,No,Likely to accept,Equally likely to or unlikely,Very important,Extremely proud,Disagree,Neither,Disagree,99,Disagree,92,Neither agree nor disagree,99,Disagree,100.0,Neither agree nor disagree,100,Oppose,,,,,,91,21,4. Middle of the road; see the pros and cons of both sides,7. Increase U.S. production of natural gas and coal,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,"7. Do not restrict the manufacture, possession, and sale of assault rifles and semi-automatic weapons",Donald Trump,1958,Male,White,No,I can not speak Spanish,High school graduate,Married,Retired,"$40,000 - $49,999",No,Republican,Strong Republican,Donald Trump,Donald Trump,Wisconsin,Rural area,Yes,Very conservative,Most of the time,Roman Catholic,Once a week,No,Not at all important,Never,2024-09-06 15:57:34,2024-09-06 16:04:17,1,2024,36,104,637666878
0.6167186614,,71,11,No,Equally likely to refuse or accept,Extremely unlikely,Very important,Very proud,Neither agree nor disagree,,Strongly disagree,29,Strongly disagree,79,Disagree,79,Strongly disagree,53.0,Disagree,40,Oppose,,,,,,71,71,1. Tax richer people at a higher rate,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",Kamala Harris,1968,Female,White,No,I can not speak Spanish,Post-grad,Married,Full-time,"$500,000 or more",Yes,Democrat,Not very strong Democrat,Hillary Clinton,Joe Biden,Massachusetts,Suburban area,Yes,Moderate,Some of the time,Jewish,A few times a year,No,Somewhat important,A few times a month,2024-09-06 15:56:03,2024-09-06 16:05:01,1,2024,36,104,650886177
1.1921287955,,76,0,No,Equally likely to refuse or accept,Equally likely to or unlikely,Neither important nor unimportant,Only a little proud,Neither agree nor disagree,,Neither agree nor disagree,100,Neither agree nor disagree,0,Agree,0,Neither agree nor disagree,100.0,Neither agree nor disagree,100,Neither support nor oppose,,,,,,100,100,1. Tax richer people at a higher rate,1. Decrease U.S. production of natural gas and coal,2.,4. Middle of the road; see the pros and cons of both sides,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",Kamala Harris,1983,Female,White,No,I can not speak Spanish,4-year,Never married,Full-time,"$20,000 - $29,999",No,Democrat,Strong Democrat,Hillary Clinton,Did not vote for President,Pennsylvania,Rural area,Yes,Liberal,Some of the time,Nothing in particular,Never,No,Not at all important,Never,2024-09-06 15:58:16,2024-09-06 16:05:11,1,2024,36,104,1453968696
0.5646328680,,65,48,No,Equally likely to refuse or accept,Equally likely to or unlikely,Neither important nor unimportant,Moderately proud,Neither agree nor disagree,,Neither agree nor disagree,48,Neither agree nor disagree,48,Neither agree nor disagree,53,Neither agree nor disagree,50.0,Neither agree nor disagree,51,Neither support nor oppose,,,,,,50,51,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,Kamala Harris,2000,Female,Black,No,I can not speak Spanish,4-year,Never married,Full-time,"$50,000 - $59,999",No,Democrat,Not very strong Democrat,Did not vote for President,Joe Biden,Texas,Big city,Yes,Liberal,Only now and then,Protestant,Once a week,Yes,Very important,Once a day,2024-09-06 15:59:05,2024-09-06 16:05:27,1,2024,36,104,2147483647
0.6563320552,,90,10,No,Equally likely to refuse or accept,Equally likely to or unlikely,Very important,Extremely proud,Neither agree nor disagree,Never Trumper,Strongly disagree,20,Strongly disagree,0,Neither agree nor disagree,20,Strongly disagree,20.0,Strongly disagree,98,Strongly oppose,,,,,,90,0,1. Tax richer people at a higher rate,1. Decrease U.S. production of natural gas and coal,1. Implement government health insurance for everyone,7. Allow free trade,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",Kamala Harris,1986,Male,White,No,I can not speak Spanish,High school graduate,Domestic / civil partnership,Full-time,"$120,000 - $149,999",No,Republican,Not very strong Republican,Donald Trump,Joe Biden,South Carolina,Smaller city,Yes,Conservative,Most of the time,Protestant,Never,Yes,Very important,Several times a day,2024-09-06 15:56:56,2024-09-06 16:05:28,1,2024,36,104,1077123882
1.1204238330,,91,69,No,Equally likely to refuse or accept,Equally likely to or unlikely,Very important,Extremely proud,Neither agree nor disagree,,Strongly disagree,90,Strongly disagree,69,Neither agree nor disagree,97,Strongly disagree,90.0,Strongly disagree,90,Oppose,,,,,,80,71,7. Tax everyone at the same rate,4. Middle of the road; see the pros and cons of both sides,2.,3.,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",Kamala Harris,1954,Male,White,No,,High school graduate,Married,Retired,"$100,000 - $119,999",No,Democrat,Not very strong Democrat,Hillary Clinton,Joe Biden,Minnesota,Suburban area,Yes,Moderate,Some of the time,Protestant,A few times a year,No,Somewhat important,A few times a month,2024-09-06 15:57:55,2024-09-06 16:07:49,1,2024,36,104,2147483647
0.7945555346,,100,0,No,Likely to refuse,Equally likely to or unlikely,Very important,Extremely proud,Agree,,Disagree,48,Strongly disagree,0,Agree,74,Neither agree nor disagree,52.0,Agree,53,Neither support nor oppose,,,,,,80,63,1. Tax richer people at a higher rate,4. Middle of the road; see the pros and cons of both sides,1. Implement government health insurance for everyone,4. Middle of the road; see the pros and cons of both sides,3.,Kamala Harris,1981,Female,White,No,I can not speak Spanish,2-year,Domestic / civil partnership,Full-time,"$60,000 - $69,999",Yes,Democrat,Strong Democrat,Donald Trump,Did not vote for President,Florida,Rural area,Yes,Very liberal,Some of the time,Protestant,Seldom,Yes,Very important,Once a day,2024-09-06 15:56:49,2024-09-06 16:08:01,1,2024,36,104,1217914842
0.3145122021,,30,10,No,Extremely likely to accept,Extremely unlikely,Very unimportant,Not at all proud,Disagree,,Disagree,98,Disagree,90,Agree,99,Disagree,100.0,Disagree,98,Oppose,,,,,,80,80,1. Tax richer people at a higher rate,1. Decrease U.S. production of natural gas and coal,1. Implement government health insurance for everyone,4. Middle of the road; see the pros and cons of both sides,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",Kamala Harris,1968,Male,White,No,I can not speak Spanish,4-year,Never married,Homemaker,"Less than $10,000",No,Independent,Lean Democrat,Other,Joe Biden,Nevada,Suburban area,Yes,Very liberal,Hardly at all,Atheist,Never,No,Not at all important,Never,2024-09-06 15:56:28,2024-09-06 16:09:42,1,2024,36,104,199639362
0.4775676351,,4,100,No,Likely to refuse,Unlikely,Very important,Extremely proud,Agree,MAGA Republican,Neither agree nor disagree,51,Neither agree nor disagree,58,Neither agree nor disagree,31,Neither agree nor disagree,2.0,Agree,34,Support,Neither support nor oppose,,,,,21,12,6.,6.,6.,5.,5.,Donald Trump,1998,Female,White,No,I can not speak Spanish,Post-grad,Married,Full-time,"$60,000 - $69,999",No,Republican,Strong Republican,Donald Trump,Donald Trump,Florida,Smaller city,Yes,Very liberal,Some of the time,Roman Catholic,Seldom,Yes,Somewhat important,Once a day,2024-09-06 15:58:56,2024-09-06 16:09:42,1,2024,36,104,2147483647
