weight,party_rand_cat,democrat_therm_1,republican_therm_1,general_trust,institutional_corruption,institutional_response,vote_importance,pride,fair_treatment,maga,norm_judges,norm_judges_perception,norm_polling,norm_polling_perception,norm_executive,norm_executive_perception,norm_censorship,norm_censorship_perception,norm_loyalty,norm_loyalty_perception,violence1,violence2,violence3,violence4,violence5,violence6,violence3_perception,violence6_perception,policy_graduated_taxes,policy_energy_ind,policy_health_insur,policy_free_trade,policy_gun_rights,matchup2024,birthyr,gender,race,hispanic,speakspanish,educ,marstat,employ,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputstate,urbanicity2,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,engaged,year,week,survey,uid_public
1.1300555355,,0.0,80.0,Yes,Equally likely to refuse or accept,Equally likely to or unlikely,Very important,Very proud,Strongly disagree,MAGA Republican,Disagree,100.0,Disagree,100,Agree,100,Strongly agree,100.0,Agree,100.0,Neither support nor oppose,,,,,,60.0,70.0,,7. Increase U.S. production of natural gas and coal,,4. Middle of the road; see the pros and cons of both sides,"7. Do not restrict the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1939,Female,White,No,I can not speak Spanish,High school graduate,Married,Retired,"$40,000 - $49,999",No,Republican,Strong Republican,Donald Trump,Donald Trump,Arizona,Suburban area,Yes,Conservative,Most of the time,Protestant,Once a week,Yes,Very important,Once a day,2022-11-12 17:24:45,2022-11-12 18:02:03,1,2022,46,9,18055389
0.5113450823,,67.0,0.0,Yes,Likely to accept,Unlikely,Very important,Not at all proud,Neither agree nor disagree,,Disagree,100.0,Disagree,100,Agree,0,Agree,0.0,Strongly disagree,0.0,Oppose,,,,,,100.0,86.0,,,,,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1955,Male,White,No,I can not speak Spanish,High school graduate,Married,Other,"$70,000 - $79,999",No,Independent,Lean Democrat,Did not vote for President,Joe Biden,Arizona,Suburban area,Yes,Very liberal,Most of the time,Buddhist,Seldom,No,Not at all important,Never,2022-11-12 17:31:40,2022-11-12 17:40:22,1,2022,46,9,18068277
0.7666821253,,90.0,10.0,Yes,Likely to refuse,Equally likely to or unlikely,Very important,Extremely proud,Neither agree nor disagree,,Disagree,80.0,Disagree,81,Neither agree nor disagree,81,Disagree,80.0,Disagree,80.0,Oppose,,,,,,80.0,54.0,,,,4. Middle of the road; see the pros and cons of both sides,,,1963,Female,White,No,I can not speak Spanish,Post-grad,Married,Full-time,"$200,000 - $249,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,New York,Smaller city,Yes,Liberal,Most of the time,Roman Catholic,Never,No,Not at all important,A few times a week,2022-11-12 22:04:26,2022-11-12 22:47:48,0,2022,46,9,18108174
0.7666821253,,90.0,0.0,Yes,Likely to refuse,Unlikely,Very important,Moderately proud,Agree,,Strongly disagree,35.0,Strongly disagree,92,Disagree,40,Strongly disagree,70.0,Strongly disagree,35.0,Neither support nor oppose,,,,,,30.0,10.0,,,,,,,1958,Female,White,No,I can not speak Spanish,Post-grad,Married,Retired,"$350,000 - $499,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,California,Smaller city,Yes,Very liberal,Most of the time,Atheist,Never,No,Not at all important,Never,2022-11-12 17:10:40,2022-11-12 17:31:01,1,2022,46,9,18339411
0.6732285870,,0.0,94.0,No,Likely to accept,Unlikely,Important,Very proud,Neither agree nor disagree,Neither,Strongly disagree,99.0,Strongly disagree,89,Strongly disagree,74,Agree,50.0,Agree,93.0,Strongly oppose,,,,,,92.0,94.0,,,7. Have individuals and private insurance pay medical expenses,,"7. Do not restrict the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1982,Female,Hispanic,Yes,I speak both Spanish and English equally,2-year,Married,Homemaker,"$120,000 - $149,999",Yes,Republican,Strong Republican,Donald Trump,Donald Trump,Texas,Suburban area,Yes,Very conservative,Some of the time,Roman Catholic,A few times a year,No,Somewhat important,A few times a week,2022-11-15 20:07:35,2022-11-15 20:28:32,1,2022,46,9,18359382
0.8870650094,,0.0,25.0,No,Extremely likely to accept,Unlikely,Very important,Extremely proud,Disagree,MAGA Republican,Disagree,90.0,Disagree,90,Disagree,90,Neither agree nor disagree,90.0,Agree,75.0,Support,Oppose,,,,,90.0,75.0,6.,7. Increase U.S. production of natural gas and coal,,,,,1963,Male,Other,No,I can not speak Spanish,High school graduate,Married,Full-time,Prefer not to say,No,Independent,Lean Republican,Donald Trump,Donald Trump,Oklahoma,Rural area,Yes,Conservative,Most of the time,Protestant,Seldom,Yes,Very important,Once a day,2022-11-14 12:37:34,2022-11-14 13:04:50,1,2022,46,9,18360012
0.8173844071,,10.0,72.0,No,Equally likely to refuse or accept,Equally likely to or unlikely,Important,Extremely proud,Disagree,MAGA Republican,Neither agree nor disagree,90.0,Strongly disagree,90,Neither agree nor disagree,11,Neither agree nor disagree,51.0,Disagree,90.0,Support,Oppose,,,,,90.0,61.0,,7. Increase U.S. production of natural gas and coal,7. Have individuals and private insurance pay medical expenses,4. Middle of the road; see the pros and cons of both sides,,,1946,Male,White,No,I can not speak Spanish,High school graduate,Married,Retired,"$70,000 - $79,999",No,Republican,Not very strong Republican,Donald Trump,Donald Trump,Florida,Rural area,Yes,Conservative,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,2022-11-12 20:13:59,2022-11-12 20:45:51,1,2022,46,9,18527520
0.7239035486,,55.0,0.0,Yes,Equally likely to refuse or accept,Equally likely to or unlikely,Very important,Not at all proud,Strongly disagree,,Disagree,56.0,Strongly disagree,52,Neither agree nor disagree,54,Strongly disagree,57.0,Disagree,54.0,Strongly support,Oppose,,,,,34.0,12.0,1. Tax richer people at a higher rate,1. Decrease U.S. production of natural gas and coal,1. Implement government health insurance for everyone,1. Limit free trade,,,1978,Male,Other,No,I can not speak Spanish,Some college,Never married,Permanently disabled,"$10,000 - $19,999",No,Democrat,Strong Democrat,Did not vote for President,Joe Biden,Maine,Small town,Yes,Very liberal,Most of the time,Protestant,Once a week,No,Very important,A few times a week,2022-11-11 23:50:54,2022-11-12 00:04:18,1,2022,46,9,18555690
0.9343887710,,10.0,90.0,No,Equally likely to refuse or accept,Unlikely,Very important,Very proud,Neither agree nor disagree,MAGA Republican,Disagree,70.0,Disagree,70,Disagree,80,Agree,90.0,Neither agree nor disagree,50.0,Neither support nor oppose,,,,,,70.0,60.0,4. Middle of the road; see the pros and cons of both sides,,,,,,1953,Male,White,No,I can not speak Spanish,4-year,Married,Retired,"$100,000 - $119,999",No,Republican,Strong Republican,Donald Trump,Donald Trump,Florida,Suburban area,Yes,Conservative,Most of the time,Protestant,A few times a year,No,Somewhat important,A few times a week,0000-00-00 00:00:00,2022-11-11 22:04:22,0,2022,46,9,18565113
1.1669631704,,16.0,89.0,No,Equally likely to refuse or accept,Unlikely,Very important,Very proud,Disagree,Neither,Disagree,79.0,Disagree,80,Strongly disagree,87,Strongly disagree,80.0,Neither agree nor disagree,80.0,Neither support nor oppose,,,,,,21.0,20.0,,7. Increase U.S. production of natural gas and coal,6.,4. Middle of the road; see the pros and cons of both sides,,,1951,Female,White,No,I can not speak Spanish,4-year,Married,Retired,"$80,000 - $99,999",No,Independent,Lean Republican,Donald Trump,Donald Trump,Washington,Suburban area,Yes,Conservative,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,2022-11-12 03:06:24,2022-11-12 03:24:14,1,2022,46,9,18656877
0.7790530559,,80.0,0.0,Yes,Extremely likely to refuse,Equally likely to or unlikely,Very important,Moderately proud,Agree,,Strongly disagree,25.0,Strongly disagree,60,Neither agree nor disagree,35,Strongly disagree,45.0,Strongly disagree,45.0,Strongly support,Oppose,,,,,15.0,1.0,1. Tax richer people at a higher rate,1. Decrease U.S. production of natural gas and coal,,4. Middle of the road; see the pros and cons of both sides,,,1962,Male,Hispanic,Yes,I speak both Spanish and English equally,Post-grad,Never married,Homemaker,"Less than $10,000",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Florida,Small town,Yes,Very liberal,Most of the time,Nothing in particular,Never,No,Not at all important,Seldom,2022-11-12 16:49:06,2022-11-12 17:09:58,1,2022,46,9,18806628
0.8442016709,,60.0,12.0,Yes,Likely to refuse,Unlikely,Very important,Only a little proud,Agree,,Strongly disagree,75.0,Strongly disagree,75,Neither agree nor disagree,76,Disagree,69.0,Strongly disagree,64.0,Oppose,,,,,,79.0,31.0,1. Tax richer people at a higher rate,,,4. Middle of the road; see the pros and cons of both sides,,,1961,Male,White,No,I can not speak Spanish,4-year,Never married,Permanently disabled,"$20,000 - $29,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,New York,Big city,Yes,Liberal,Most of the time,Nothing in particular,Never,No,Not at all important,Never,2022-11-12 19:22:29,2022-11-12 20:35:49,1,2022,46,9,18814080
1.0400189264,,0.0,60.0,No,Equally likely to refuse or accept,Extremely unlikely,Very important,Extremely proud,Disagree,Neither,Strongly disagree,100.0,Neither agree nor disagree,80,Strongly disagree,90,Strongly disagree,100.0,Neither agree nor disagree,100.0,Neither support nor oppose,,,,,,90.0,50.0,7. Tax everyone at the same rate,,7. Have individuals and private insurance pay medical expenses,4. Middle of the road; see the pros and cons of both sides,"7. Do not restrict the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1963,Male,White,No,I can not speak Spanish,High school graduate,Divorced,Full-time,"$40,000 - $49,999",No,Republican,Strong Republican,Donald Trump,Donald Trump,Pennsylvania,Rural area,Yes,Very conservative,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,2022-11-15 18:36:58,2022-11-15 18:52:38,0,2022,46,9,18841728
0.7666821253,,81.0,2.0,No,Equally likely to refuse or accept,Unlikely,Very important,Very proud,Neither agree nor disagree,,Disagree,90.0,Strongly disagree,70,Agree,90,Strongly disagree,70.0,Strongly disagree,80.0,Support,Oppose,,,,,80.0,60.0,1. Tax richer people at a higher rate,,2.,,,,1969,Female,White,No,I can not speak Spanish,Post-grad,Married,Retired,Prefer not to say,No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Pennsylvania,Suburban area,Yes,Liberal,Most of the time,Roman Catholic,Seldom,No,Somewhat important,Seldom,2022-11-12 21:25:57,2022-11-12 21:39:01,1,2022,46,9,18873345
0.8180617544,,78.0,24.0,No,Equally likely to refuse or accept,Equally likely to or unlikely,Very important,Only a little proud,Strongly agree,,Strongly disagree,30.0,Strongly disagree,49,Strongly disagree,90,Strongly disagree,10.0,Strongly disagree,90.0,Oppose,,,,,,54.0,10.0,,1. Decrease U.S. production of natural gas and coal,1. Implement government health insurance for everyone,7. Allow free trade,,,1969,Male,White,No,I can not speak Spanish,High school graduate,Domestic / civil partnership,Full-time,"$500,000 or more",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Massachusetts,Big city,Yes,Liberal,Most of the time,Nothing in particular,Never,No,Not too important,Never,2022-11-15 18:03:24,2022-11-15 18:17:13,1,2022,46,9,18874677
1.0189089258,,0.0,50.0,No,Extremely likely to accept,Extremely unlikely,Very important,Extremely proud,Strongly disagree,MAGA Republican,Strongly agree,100.0,Strongly disagree,100,Disagree,100,Strongly disagree,100.0,Strongly disagree,100.0,Strongly support,Strongly oppose,,,,,83.0,82.0,,7. Increase U.S. production of natural gas and coal,7. Have individuals and private insurance pay medical expenses,,,,1959,Male,White,No,I can not speak Spanish,High school graduate,Married,Part-time,"$20,000 - $29,999",No,Republican,Strong Republican,Donald Trump,Donald Trump,California,Rural area,Yes,Very conservative,Most of the time,Protestant,Once a week,No,Very important,Several times a day,2022-11-17 02:42:28,2022-11-17 03:05:11,1,2022,46,9,18887952
0.7528244767,,87.0,5.0,No,Likely to accept,Unlikely,Very important,Extremely proud,Agree,,Strongly disagree,71.0,Strongly disagree,71,Neither agree nor disagree,67,Strongly disagree,70.0,Strongly disagree,71.0,Oppose,,,,,,61.0,3.0,1. Tax richer people at a higher rate,,1. Implement government health insurance for everyone,4. Middle of the road; see the pros and cons of both sides,,,1961,Male,White,No,I can not speak Spanish,High school graduate,Divorced,Retired,"$60,000 - $69,999",No,Democrat,Not very strong Democrat,Hillary Clinton,Joe Biden,Arizona,Suburban area,Yes,Liberal,Some of the time,Nothing in particular,Never,No,Not at all important,Seldom,2022-11-13 20:55:08,2022-11-13 21:09:57,1,2022,46,9,18968574
