weight,party_rand_cat,democrat_therm_1,republican_therm_1,general_trust,institutional_corruption,institutional_response,vote_importance,pride,fair_treatment,maga,norm_judges,norm_judges_perception,norm_polling,norm_polling_perception,norm_executive,norm_executive_perception,norm_censorship,norm_censorship_perception,norm_loyalty,norm_loyalty_perception,violence1,violence2,violence3,violence4,violence5,violence6,violence3_perception,violence6_perception,policy_graduated_taxes,policy_energy_ind,policy_health_insur,policy_free_trade,policy_gun_rights,matchup2024,birthyr,gender,race,hispanic,speakspanish,educ,marstat,employ,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputstate,urbanicity2,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,engaged,year,week,survey,uid_public
0.4804516245,,24.0,50.0,No,Likely to accept,Equally likely to or unlikely,Very unimportant,Only a little proud,Agree,Never Trumper,Neither agree nor disagree,,Disagree,53.0,Agree,54.0,Neither agree nor disagree,,Agree,66.0,Strongly support,Oppose,,,,,65,61.0,,,6.,2.,"7. Do not restrict the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,2003,Female,Black,No,I can not speak Spanish,Post-grad,Never married,Part-time,"$50,000 - $59,999",No,Republican,Strong Republican,Did not vote for President,Did not vote for President,Oregon,Big city,Yes,Conservative,Only now and then,Protestant,More than once a week,Yes,Very important,Several times a day,2022-12-30 16:58:39,2022-12-30 17:03:34,1,2023,1,16,1865196768
0.6444139090,,97.0,42.0,Yes,Likely to refuse,Unlikely,Very important,Moderately proud,Agree,,Disagree,,Disagree,57.0,Disagree,48.0,Disagree,,Neither agree nor disagree,50.0,Support,Oppose,,,,,43,52.0,,5.,4. Middle of the road; see the pros and cons of both sides,,3.,,1988,Female,Black,No,I can not speak Spanish,4-year,Married,Full-time,"$60,000 - $69,999",Yes,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Texas,Suburban area,Yes,Very liberal,Most of the time,Nothing in particular,Never,No,Somewhat important,Several times a day,2022-12-30 16:59:28,2022-12-30 17:07:17,1,2023,1,16,539291820
0.7277584297,,71.0,4.0,No,Likely to accept,Extremely unlikely,Very important,Extremely proud,Disagree,,Disagree,80.0,Strongly disagree,81.0,Agree,19.0,Disagree,,Strongly disagree,,Support,Oppose,,,,,72,73.0,,4. Middle of the road; see the pros and cons of both sides,1. Implement government health insurance for everyone,,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1980,Male,White,No,I can not speak Spanish,Post-grad,Married,Full-time,"$70,000 - $79,999",Yes,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,California,Suburban area,Yes,Very liberal,Most of the time,Jewish,Seldom,No,Not at all important,Seldom,2022-12-30 16:56:48,2022-12-30 17:07:45,1,2023,1,16,1594398162
1.8710948004,,50.0,0.0,No,Equally likely to refuse or accept,Equally likely to or unlikely,Neither important nor unimportant,Not at all proud,Neither agree nor disagree,,Neither agree nor disagree,0.0,Neither agree nor disagree,,Neither agree nor disagree,0.0,Neither agree nor disagree,,Neither agree nor disagree,0.0,Neither support nor oppose,,,,,,0,0.0,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,,4. Middle of the road; see the pros and cons of both sides,,,1994,Female,Black,No,I can not speak Spanish,No HS,Never married,Unemployed,"Less than $10,000",No,Democrat,Not very strong Democrat,Did not vote for President,Did not vote for President,Maryland,Big city,No,Not sure,Don't know,Nothing in particular,Never,No,Not at all important,Don't know,2022-12-30 17:00:07,2022-12-30 17:08:36,0,2023,1,16,601816971
0.7988389536,,58.0,45.0,Yes,Extremely likely to refuse,Extremely likely,Important,Extremely proud,Strongly agree,MAGA Republican,Strongly agree,,Strongly agree,,Strongly agree,72.0,Strongly agree,75.0,Strongly agree,77.0,Strongly support,Strongly support,Strongly support,Support,Neither support nor oppose,,73,65.0,,5.,5.,5.,,,1989,Male,Hispanic,Yes,I speak English primarily but can speak Spanish,4-year,Married,Student,"$70,000 - $79,999",Yes,Republican,Not very strong Republican,Hillary Clinton,Joe Biden,New York,Big city,Yes,Conservative,Some of the time,Roman Catholic,Never,Yes,Very important,Several times a day,2022-12-30 17:00:50,2022-12-30 17:08:43,0,2023,1,16,1863954984
0.7310968708,,94.0,55.0,Yes,Likely to refuse,Extremely unlikely,Very important,Extremely proud,Agree,,Disagree,3.0,Strongly disagree,25.0,Disagree,,Disagree,,Disagree,30.0,Oppose,,,,,,30,27.0,1. Tax richer people at a higher rate,,1. Implement government health insurance for everyone,6.,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1970,Female,White,No,I can not speak Spanish,2-year,Married,Homemaker,"$50,000 - $59,999",Yes,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Pennsylvania,Suburban area,Yes,Conservative,Only now and then,Nothing in particular,Never,No,Not at all important,Never,2022-12-30 16:54:50,2022-12-30 17:09:45,1,2023,1,16,1288112520
1.2453177745,Independent assigned Democrat,5.0,25.0,Yes,Extremely likely to accept,Unlikely,Neither important nor unimportant,Moderately proud,Disagree,,Strongly disagree,,Strongly disagree,,Strongly disagree,20.0,Strongly disagree,10.0,Strongly disagree,10.0,Oppose,,,,,,15,0.0,7. Tax everyone at the same rate,,7. Have individuals and private insurance pay medical expenses,7. Allow free trade,,,1968,Male,White,No,I can not speak Spanish,4-year,Married,Temporarily laid off,"$60,000 - $69,999",No,Independent,Independent,Did not vote for President,Donald Trump,Illinois,Big city,Yes,Not sure,Most of the time,Buddhist,A few times a year,No,Somewhat important,Never,2022-12-30 16:55:58,2022-12-30 17:11:24,1,2023,1,16,567277815
0.7751620940,,40.0,1.0,No,Equally likely to refuse or accept,Equally likely to or unlikely,Very important,Very proud,Neither agree nor disagree,,Disagree,,Strongly disagree,40.0,Disagree,70.0,Strongly disagree,,Strongly disagree,70.0,Neither support nor oppose,,,,,,60,1.0,,5.,3.,,,,1970,Male,White,No,I can not speak Spanish,4-year,Married,Full-time,"$120,000 - $149,999",Yes,Democrat,Not very strong Democrat,Hillary Clinton,Joe Biden,Georgia,Suburban area,Yes,Moderate,Most of the time,Jewish,Seldom,No,Not at all important,Never,2022-12-30 17:00:28,2022-12-30 17:11:44,1,2023,1,16,533254431
1.0829457991,,16.0,97.0,No,Equally likely to refuse or accept,Equally likely to or unlikely,Neither important nor unimportant,Very proud,Neither agree nor disagree,MAGA Republican,Neither agree nor disagree,95.0,Neither agree nor disagree,92.0,Neither agree nor disagree,,Disagree,88.0,Neither agree nor disagree,,Oppose,,,,,,94,87.0,,4. Middle of the road; see the pros and cons of both sides,,,,,1977,Female,White,No,I can not speak Spanish,Some college,Divorced,Full-time,"$40,000 - $49,999",No,Republican,Strong Republican,Did not vote for President,Donald Trump,Pennsylvania,Big city,Yes,Conservative,Only now and then,Protestant,Seldom,No,Somewhat important,A few times a week,2022-12-30 16:58:53,2022-12-30 17:11:55,0,2023,1,16,1814007468
1.2579384890,,76.0,48.0,Yes,Likely to accept,Extremely likely,Important,Extremely proud,Agree,,Strongly agree,41.0,Agree,46.0,Strongly agree,,Agree,,Strongly agree,41.0,Strongly support,Neither support nor oppose,,,,,69,23.0,6.,5.,,,,,1995,Male,White,No,I can not speak Spanish,Some college,Married,Full-time,"$60,000 - $69,999",Yes,Democrat,Not very strong Democrat,Hillary Clinton,Joe Biden,California,Big city,Yes,Moderate,Most of the time,Roman Catholic,Once or twice a month,Yes,Somewhat important,A few times a week,2022-12-30 17:01:22,2022-12-30 17:11:58,1,2023,1,16,1819857720
1.0468437868,,0.0,100.0,No,Likely to accept,Equally likely to or unlikely,Very important,Extremely proud,Disagree,MAGA Republican,Neither agree nor disagree,48.0,Neither agree nor disagree,,Neither agree nor disagree,45.0,Neither agree nor disagree,,Neither agree nor disagree,50.0,Neither support nor oppose,,,,,,52,45.0,,4. Middle of the road; see the pros and cons of both sides,,,"7. Do not restrict the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,2000,Female,White,No,I can not speak Spanish,2-year,Married,Full-time,Prefer not to say,No,Republican,Strong Republican,Did not vote for President,Donald Trump,California,Suburban area,Yes,Very conservative,Some of the time,Jewish,A few times a year,No,Very important,A few times a week,2022-12-30 16:58:45,2022-12-30 17:11:59,1,2023,1,16,496813890
0.5392705666,,95.0,0.0,Yes,Likely to accept,Likely,Very important,Moderately proud,Strongly agree,,Disagree,,Strongly disagree,100.0,Agree,100.0,Strongly disagree,100.0,Strongly disagree,,Neither support nor oppose,,,,,,89,99.0,1. Tax richer people at a higher rate,7. Increase U.S. production of natural gas and coal,,,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1986,Female,White,No,I can not speak Spanish,Post-grad,Married,Full-time,"$150,000 - $199,999",Yes,Democrat,Not very strong Democrat,Hillary Clinton,Joe Biden,Oregon,Suburban area,Yes,Liberal,Some of the time,Roman Catholic,A few times a year,No,Somewhat important,Once a day,2022-12-30 17:02:14,2022-12-30 17:13:17,1,2023,1,16,1278690150
1.1644795827,,58.0,57.0,No,Equally likely to refuse or accept,Extremely unlikely,Important,Very proud,Disagree,MAGA Republican,Disagree,0.0,Strongly disagree,0.0,Agree,,Neither agree nor disagree,,Neither agree nor disagree,89.0,Oppose,,,,,,3,0.0,4. Middle of the road; see the pros and cons of both sides,7. Increase U.S. production of natural gas and coal,,5.,,,1988,Female,White,No,I can not speak Spanish,Post-grad,Never married,Full-time,"$60,000 - $69,999",No,Republican,Strong Republican,Donald Trump,Donald Trump,Texas,Suburban area,Yes,Very conservative,Only now and then,Mormon,Once a week,No,Very important,Several times a day,2022-12-30 17:01:40,2022-12-30 17:13:19,1,2023,1,16,1710765318
1.2150100406,,10.0,70.0,Yes,Likely to accept,Extremely unlikely,Very important,Very proud,Strongly disagree,Neither,Neither agree nor disagree,60.0,Strongly disagree,70.0,Neither agree nor disagree,90.0,Strongly disagree,,Neither agree nor disagree,,Neither support nor oppose,,,,,,100,40.0,5.,6.,6.,,5.,,1953,Female,White,No,I can not speak Spanish,4-year,Married,Retired,"$80,000 - $99,999",No,Republican,Strong Republican,Donald Trump,Donald Trump,North Carolina,Rural area,Yes,Conservative,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,2022-12-30 16:58:21,2022-12-30 17:13:28,1,2023,1,16,127300080
1.4962899649,,80.0,0.0,No,Likely to accept,Extremely unlikely,Very important,Not at all proud,Disagree,,Strongly disagree,,Strongly disagree,90.0,Neither agree nor disagree,99.0,Strongly disagree,79.0,Strongly disagree,,Support,Oppose,,,,,82,20.0,1. Tax richer people at a higher rate,4. Middle of the road; see the pros and cons of both sides,,,,,1972,Male,White,No,I can not speak Spanish,Some college,Married,Homemaker,"$100,000 - $119,999",Yes,Independent,Lean Democrat,Hillary Clinton,Joe Biden,North Carolina,Rural area,Yes,Moderate,Most of the time,Something else,Never,No,Not at all important,Never,2022-12-30 17:00:43,2022-12-30 17:13:29,1,2023,1,16,100266861
0.8355398887,Independent assigned Democrat,31.0,32.0,No,Equally likely to refuse or accept,Equally likely to or unlikely,Neither important nor unimportant,Moderately proud,Disagree,,Neither agree nor disagree,29.0,Neither agree nor disagree,,Neither agree nor disagree,30.0,Neither agree nor disagree,28.0,Neither agree nor disagree,,Neither support nor oppose,,,,,,15,0.0,4. Middle of the road; see the pros and cons of both sides,5.,,4. Middle of the road; see the pros and cons of both sides,5.,,1992,Female,Hispanic,Yes,I can not speak Spanish,4-year,Never married,Full-time,"$150,000 - $199,999",No,Independent,Independent,Donald Trump,Donald Trump,California,Big city,Yes,Moderate,Only now and then,Nothing in particular,Don't know,No,Not too important,Seldom,2022-12-30 17:00:31,2022-12-30 17:14:10,1,2023,1,16,1696853748
